書籍タイトル,要約
世界史の構造的理解 現代の「見えない皇帝」と日本の武器,戦略の原則では一般的に、組織の力を「戦闘力と戦略力の積」として考えるのが普通である。前者の「戦闘力」とは、図体の大きさや兵力・練 度 など、純然たる体力面での力を指し、一方後者の「戦略力」というのは、優れた戦略によって優位なポジションを得るなどの知的な力を指す。。要するに、ナポレオンはローマ世界のような「世界統合型」を、英国はギリシャ世界のような「勢力均衡型」をそれぞれ目標としていたわけで、ナポレオン戦争はまさにこの二つの理念が激突する戦争だったのである。そして結果的に英国が勝つことで、ヨーロッパ世界のその後は、以前からの勢力均衡型の世界が守られてそのまま続くことになったわけである。
世界標準の経営理論,経済学ベースの制度理論とは、ゲーム理論を基礎として、「一人ひとりのプレーヤーが独立して、互いの意思を読み合いながら、まるで数式を解くかのように合理的に意思決定する」。社会学ベースの制度理論は「人は必ずしも合理的に意思決定するとは限らない」という前提に立つ。。制度理論によると、社会に埋め込まれた人・組織・企業はその認知的・心理的制約から、経済合理性だけでは十分に説明がつかない行動を取りうる。。この同質化プロセスを、アイソモーフィズム（isomorphism）と呼ぶ。ポール・ディマジオとウォルター・パウエルが1983年に『アメリカン・ソシオロジカル・レビュー』（ASR）に発表した論文で提唱した、制...
世界秩序の変化に対処するための原則　なぜ国家は興亡するのか (日本経済新聞出版),● 将来を予測し、上手に対処する能力は、変化を招く因果関係を理解する能力と、その因果関係が過去にどう変化をもたらしたかを学習する能力とに依存するということだった。。● 将来を予測し、上手に対処する能力は、変化を招く因果関係を理解する能力と、その因果関係が過去にどう変化をもたらしたかを学習する能力とに依存するということだった。。と価値観の格差が大きく、景気が低迷しているとき、全体のパイをどう分配するかで多くの対立が生じやすい。。と価値観の格差が大きく、景気が低迷しているとき、全体のパイをどう分配するかで多くの対立が生じやすい。。進化は改善をもたらす上向きの動きだ。それは適応と学習から生じる。それ...
世襲 政治・企業・歌舞伎 (幻冬舎新書),しかし明治から昭和敗戦までの歴代総理大臣に、親が大臣だった者はいない。みな政治家としては初代だった。。自分は初代だった昭和の首相たちも、その大半が自分の子や女婿を議員にした。 昭和戦後の首相十五人のうち十二人の子や女婿が国会議員になっている。平成・令和の首相十八人は五人が現役の議員（麻生、 菅直人、野田、 菅 義偉、岸田） なので、それを除外した十三人のうち七人が、子や甥に地盤を継がせている。。戦後の一九六〇年代までの政界は吉田茂を中心に動いていた。吉田の弟子が池田勇人と佐藤栄作で、その政敵が鳩山一郎と 岸信介 である。吉田の弟子で、なおかつ岸の実弟という二つの人脈に属す佐藤栄作が長期政権とな...
二兎を追う経営　トレードオフからの脱却 (日本経済新聞出版),つまりユニクロは、品ぞろえ（ファッション性）の追求をあきらめて定番商品を中心に品ぞろえを絞ったおかげで、大量発注、継続的な改良を可能にし、トレードオフにある品質とコストの両方を同時に達成することができたのである。。トレードオフ（対立）関係にある目標を同時に追求したいなら、３つめの目標（Ｃ）を探し、ＡとＢというグループとＣのグループとに分け、Ｃをあきらめる。そうすれば、ＡとＢは同じグループになるので、もはや対立項ではなくなり、ＡとＢの目標グループを追求すること、つまりトレードオフを解消することができると考えられるのである。。このように、トレードオフ関係にある価値に直面した場合、その関係を固定的...
二項動態経営　共通善に向かう集合知創造 (日本経済新聞出版),最初の日本語訳で「終身雇用」と訳された英語が実は lifetime employment ではなく、〝lifetime commitment（生涯にわたるコミットメント）〟である点は 刮目 すべきことであろう。雇用という表現をアベグレンは使っておらず、初版の翻訳を手掛けた経営学者占部都美の意訳であったことを、経営学者加護野忠男は指摘している＊３。。組織には慣性や惰性が働く。経済学や経営学では「経路依存性＊ 10」などといわれ、これまでの仕組み、事象、意思決定に依存しすぎて、新たな取り組みが阻害されることを表す。変えようとする力には、反作用で抵抗勢力が生まれることとなるのだ。。ぎりぎりの接点を...
交易する人間（ホモ・コムニカンス）　贈与と交換の人間学 (講談社学術文庫),生まれる。「我」としての個人は他人とのつきあいのなかで形成される。個人は社会生活の結果である。。生まれる。「我」としての個人は他人とのつきあいのなかで形成される。個人は社会生活の結果である。。本書で定義する交易は、経済、政治、宗教、儀式、さらには生産や労働をも含む。相互行為としての交易の総体、それが社会なのである。そしてそれが「人間である」ことの内容である。。本書で定義する交易は、経済、政治、宗教、儀式、さらには生産や労働をも含む。相互行為としての交易の総体、それが社会なのである。そしてそれが「人間である」ことの内容である。。societyは、《social》によってはじめて存在可能になる。そ...
人工知能は人間を超えるか (角川ＥＰＵＢ選書),場合の数からいうと、オセロが一番簡単で、その次にチェス、将棋、囲碁の順番に難しくなる。観測可能な宇宙全体の水素原子の数がおよそ 10 の 80 乗個といわれており、この数字がこの世界で「数えられるもの」の数としては最大だろうから、盤面で起こりうる組み合わせがいかに膨大な数字か、おわかりいただけるのではないだろうか。。これだけ組み合わせの数が膨大だと、最後までしらみつぶしに調べることはとうていできない。そこで、盤面を評価するスコアをつくり、そのスコアがよくなるように、次の指し手を探索することになる。それが現在まで続くゲーム攻略のための人工知能の基本的な設計となっている。。に、第２次ＡＩブームは、...
人類とイノベーション：世界は「自由」と「失敗」で進化する (NewsPicksパブリッシング),つまり、不安定な自給自足から、より安定した相互依存に移っている。週に 40 時間、他人のニーズを満たすこと──それは「仕事」と呼ばれる──に専念することにより、そのほかの（寝ている 56 時間は除いて） 72 時間を、他人によって提供されるサービスに頼ってすごすことができる。。食料生産のイノベーションのおかげで、農地の生産性が上がったことで、多くの土地や森が耕起や放牧や伐採をまぬがれている。この「土地温存」は、土地共有──畑の作物のそばにたくさんの野生生物が生息することを願って、収穫量の少ない作物栽培を行なうこと──よりも、はるかに生物多様性にとって良いことは明らかだ。。たとえあなたがグーテン...
今、ラジオ全盛期。,フジテレビ、ＮＴＴドコモなど５社が出資し、スマートフォン向け放送局「ＮＯＴＴＶ」が開設されたのがまさに２０１２年４月。ニッポン放送もこの事業に参加することになり、「ラジオの生放送中のスタジオの映像をＮＯＴＴＶで同時配信する」コンテンツとして「オールナイトニッポン０（ＺＥＲＯ）」は始まったというわけです。。ところが、この前提は根本から覆ることになりました。ラジコで取れる年齢層の属性のデータを見てみると、オールナイトニッポンのリスナーは、 10 代よりも圧倒的に 20 代の社会人が多いことが判明したのです。さらにタイムフリーを含めると 30 代、 40 代、 50 代以上の人たちもオールナイトニ...
仏教の大意 (角川ソフィア文庫),人生の不幸は、霊性的世界と感性的分別的世界とを二つの別々な世界で相互に きしりあう 世界だと考えるところから出るのです。渾然たる一真実の世界に徹せんことを要し。われらはいつも知性的分別に 繫 がれているのです、それは何事でも二分してみないと承知しないからです。。言語は分別性の所産であるから、言語に捉えられるなというは分別を離れよということです。拈華微笑の場合はそれを例証したものです。さればといって、言葉をことごとく棄ててしまえというのではない、言葉は言葉としてその役目を適当に果たすべき場処があるのです。すなわち言葉によって言葉の束縛をはなれることになります、分別智を克服する機会を 喚び起こすも...
他者と働く──「わかりあえなさ」から始める組織論 (NewsPicksパブリッシング),劇作家の平田オリザさんは、著書『わかりあえないことから』で、対話が日本で起きにくいのは、お互いに同じ前提に立っていると思っているからだ、と喝破しました。そして、 お互いにわかり合えていないことを認める ことこそが対話にとって不可欠であると述べています。これは大変鋭い指摘です。。対話とは、権限や立場と関係なく誰にでも、 自分の中に相手を見出すこと、相手の中に自分を見出すこと で、双方向にお互いを受け入れ合っていくことを意味します。。ポイントは、どちらかのナラティヴが正しいということではなく、それぞれの立場におけるナラティヴがあるということです。つまり、ナラティヴとは、視点の違いにとどまらず、その...
企業価値４倍のマネジメント－－結果にこだわるコンサルタントの定石 (日本経済新聞出版),ベインでは、戦略とは「顧客に対して、競合よりも優れた価値提供をするための、自社固有のアクションの集合体」であり、かつ「希少な経営資源＊ の配分についての意思決定の集合体」であると考えています。。なぜ経営戦略は十分実行されず、「絵に描いた餅」に終わるのでしょうか。その理由には①コンテンツ、②コミュニケーション（伝達方法）、③組織・人材との整合性、の３パターンがあります。。事業戦略とは、個別事業の顧客に対して競合より優れた価値を提供するための自社固有のアクションと意思決定の集合体です。これに対し、企業戦略とは、個別事業の単純合算よりも全体として企業価値を高めるための、自社固有のアクションと意思決定...
企業変革のジレンマ　「構造的無能化」はなぜ起きるのか (日本経済新聞出版),構造的無能化とは、組織が考えたり実行したりする能力を喪失し、環境変化への適応力を喪失していくことである。。多くの企業は、喫緊の企業再生が必要なほど、業績は悪化していないということである。そのため、自分たちの会社の置かれている状況について、『Ｖ字回復の経営』で書かれているほど、明確な問題意識を持っていない。。多くの場合、現場の自発性の不在は、経営層が打ち出す戦略の明確性の低さや、その戦略の中で個々のメンバーが自分の位置づけを見出せないという問題によって生じる。それを個人の問題にすり替えてはならない。。環境適応を果たし、事業基盤を確立するに至ると、より確実かつ効率的に成果を生み出すために、分業化と...
会社という迷宮――経営者の眠れぬ夜のために,こうした状況を 目の当たりにすると、精神医学者の木村 敏 氏が、客観的現実としてのrealityと、主体者の現実感としてのactualityとは、人が非常事態に置かれて自己を喪失しかけたときにしばしば乖離すると述べていたことを想起せずにはいられない。前者が自らが目の当たりにし認知した現実だとすれば、後者はそれを主体として身を以て感じる「実質感」「手触り感」のようなものである。。その条件を簡潔に言ってしまえば、まずは（１） 戦いの争点となる決定的な要素において相手に対して優位であり、つまりは相手には模倣できない強みがあり、（２） その優位性が（一過性のものでなく） 持続性を持ち、つまりそれは明日...
佐久間宣行のずるい仕事術――僕はこうして会社で消耗せずにやりたいことをやってきた,自分が心から信じられる、わくわくできるような強度の高い「おもしろい」は、カクテルで言えばジンやウォッカ。ベースをつくる「原液」 と言っていい。 前提として、この原液は「おいしい」。そこを疑う必要はない。 ただ、割り方を間違えるとまずくもなるし、通好みにもなる。 広く受け入れられる味を目指して、なにで割るか、なにを足すか。 それを考えるのが自分ならではのクリエイティブになる。
体験格差 (講談社現代新書),ない。貧困とは「選択肢がない」ということです。私は、子どもの貧困問題の中心にあるのが、体験格差だと思っています。。重要なことは、これまでのクーポンの利用実績を振り返ると、９割以上がいわゆる狭い意味での「学習」を目的として利用されているということだ。つまり、学習塾、個別指導塾、家庭教師などでの利用がメインで、受験対策のニーズがやはり大きい。第一部でも紹介した通り、特に中学３年の時期には家庭が支出する学校外での平均的な学習費が大きくなるため、その負担への補塡という意味合いで利用されてきた。逆に言えば、「体験」を目的として利用されたケースは全体の１割に満たない。。例えば、ドイツでは日本のＮＰＯに似た...
価格支配力とマーケティング,現状と理想の間にある解消したいギャップのことを「問題」という。そして、その問題の根幹にかかわる要因の中で、解決時のインパクトや緊急性が大きいために、「解かねばならない」と決めたことを「課題」と呼ぶ。。実は、エクセル、ワード、パワーポイントなど、一つひとつのソフトの価格を意識させるとペインを感じやすくなる。しかしＰＣに「組み込み／プリインストール」したり、いくつかのソフトを「ワンパッケージ化」したりする巧みな販売戦略によって、価格を知覚しづらくなっている。つまりペインを感じにくくされているのである。。マーケティングの妙は、顧客の琴線に触れるコミュニケーションによって価値均衡点／ＶＥＬ：Value...
倫理資本主義の時代 (ハヤカワ新書),複雑な倫理的問題が生じるのは、一つの行動の結果を完全に明らかにするのはほぼ不可能だからだ。その原因は、私たちの行動が社会および自然の文脈に組み込まれており、そうした文脈の細部には常に一定の不透明さが付きまとうためだ。。私のいう社会とは、相手の存在に合わせて態度を調整する二人以上の行為者による取引の集合体として最大のものだ。。人間の自由はどこまでも社会的なものだ。この重要な事実のもっともシンプルな根拠は、人間がしたいと思うことのほとんどは他者と一緒でなければできないということだ。。問題は新自由主義に基づく改革が、金権政治と経済的寡頭体制という新たな封建体制を生み出したこと、それらは資本主義と相容...
分解の哲学――腐敗と発酵をめぐる思考,生態学の世界では「分解」と呼んでいるが、この概念は「一つのものを個々の要素に分けること、または分かれること」という「分解」の基本的定義から逸脱するものではない。。ゾーン゠レーテルの議論でもっとも興味深いのは、「始まり」についてである。完璧な機械を扱う場合、人間と機械の関係の「始まり」は生まれない。「技術は、むしろ、人間が、自分に敵対的で閉鎖的な機械のオートマティズムに拒否権を発動するところではじめて始まる」のである。
利他・ケア・傷の倫理学,どうして僕らは時に、喜ばれないプレゼントを贈ってしまうのでしょうか？ プレゼントは嬉しいもの、良いものというイメージがあると思いますが、僕らの日常を考えると、貰って嬉しいプレゼントよりも、貰うと困ってしまうプレゼントのほうがもしかしたら多いと言えるかもしれません。だから最近では、こちらが事前に選んだ具体的なモノを渡すのではなく、相手が好きなものと交換できるギフト券やカタログギフトが贈答品として好まれる傾向にあるのでしょう。 私が選んだモノはあなたにとって要らないもの、貰ってしまうと困るものかもしれない。 そんな懸念が払拭できないわけです。。アンパンマンがやさしいヒーローであることが可能...
勝利の流れをつかむ思考法　F1の世界でいかに崖っぷちから頂点を極めたか,仕事を進めるうえで、会社員として何をすべきか、ということは、その組織に所属している以上、もちろん重要だ。しかしその一方で仕事とは、それを通じて自己実現を図ることができる絶好の機会でもある。。事態がどう転んでもよいように、切るべきカードは一枚でも多くもっておく。これは仕事を進めるうえでの鉄則だとぼくは思っている。相手だけに主導権を握らせず、つねにこちらもカードを切る側にいる、ということだ。。50／ 50 の関係性が崩れてしまうと、そこに力関係が発生し、ニュートラルに相手のことが見られなくなる。それによって、お互いが幸福になるための〝掛け算〟もできなくなる。つまり、よかれと思って契約で自分たちが優...
北条氏の時代 (文春新書),京都の生まれである頼朝には、故郷に錦を飾るという大望があったことでしょう。それをぐっと 堪えて先に関東を平定しようと考えたのは、本当に大きな決断となりました。頼朝がいまやろうとしていることは何か。京都に入って平家の後釜に収まることなのか。そうではない、関東武士の自立こそが自分のなすべき仕事ではないのか。頼朝の作った政権は、基本的に「何よりも先に関東の事を考える」集団となったのです。この決断はその後も頼朝の一貫した姿勢となります。。この「頼朝政権」は「外交」も行いました。その相手は、「京都の朝廷」でした。朝廷に対して、自分たちが実効支配している土地の権利を認めさせる。この「外交」こそ、それまでの...
千年投資の公理 ──売られ過ぎの優良企業を買う,堀のある企業のほうが長期間利益を生み出すことができるため、現在価値は高い。堀のある企業の株を買うということは、今後何年間もライバル企業から守ってくれるキャッシュ。堀のある企業の株を買うということは、今後何年間もライバル企業から守ってくれるキャッシュフローの流れを買うことを意味している。これは、一〇年走る車を買う場合には、二～三年で故障するポンコツ車よりも高い金額を支払うのと似ている。。フローの流れを買うことを意味している。これは、一〇年走る車を買う場合には、二～三年で故障するポンコツ車よりも高い金額を支払うのと似ている。。大きな利幅と急成長にすぐ目が行ってしまうが、本当に重要なのはこの大きな...
問い続ける力 (ちくま新書),天才起業家ピーター・ティール（PayPalの共同創業者） は、採用面接の際に必ず次のように尋ねるという。 「賛成する人がほとんどいない、大切な真実は何だろう？」 これに対して、「世の中のほとんどの人はＸを信じているが、真実はＸの逆である」と答えることができれば正解なのだという。。帰納法を有効に使うポイントは、「いい意味での例外」を見つけられるかにかかっている。もちろん例外なので、パターンが見えるまで例外を集められるかが最大の障壁になる。。〝イノベーションの種となる適切な問いは、「大きな視点」と「小さなディテール」を高速で行ったり来たりすることでしかうまれない〟。研究の世界では、思考が進まない...
国家はなぜ衰退するのか　権力・繁栄・貧困の起源（上）,本書が示すのは、ある国が貧しいか裕福かを決めるのに重要な役割を果たすのは経済制度だが、国がどんな経済制度を持つかを決めるのは政治と政治制度だということだ。。こんにち異なるパターンの制度が過去に深く根を下ろしているのは、いったん社会が特定の方法で組織されると、それが持続する傾向があるからだ。われわれは、この事実が政治的・経済的制度の相互作用の仕方に由来することを明らかにする。。しかし、ブシアの経験によって強調されるのは次のような事実である。すなわち、市場の失敗を減らし、経済成長を促す政策の採用を主に妨げるのは、政治家の無知ではなく、社会の政治・経済制度から生じ、彼らが直面するインセンティヴと制約...
夢中になる東大世界史～15の良問に学ぶ世界の成り立ち～ (光文社新書),「アメリカは独立したといっても、領土は東部のみで西部には広大な未開拓地が広がっていました。アメリカは、 19 世紀の１００年間をまるまるフロンティア開拓に費やします。『独立』は終わっても『建国』はまだ終わっていなかったんですね。さて、そのフロンティア開拓を進めるにあたってアメリカがヨーロッパに対して発表したのが、アメリカ大陸とヨーロッパの相互不干渉を主張するモンロー宣言（１８２３年）です。そもそも東に位置するイギリスからの干渉が嫌で独立したわけですし、フロンティア開拓は西に向かう運動ですから、東から、つまり背後から干渉されることを防ぐという目的がありました」
大坂堂島米市場　江戸幕府ｖｓ市場経済 (講談社現代新書),おりしも一七世紀中期から後期にかけての時期は、大坂市場がその物理的基盤を整備し、中央市場としての機能を果たし始めた時期でもあった。大名財政の運営にとってもはや不可欠となった江戸幕府通貨を獲得するためにも、成長著しい大坂市場での米販売が重要性を帯びていったのだ。。諸大名が領民に粛々と米を作らせて大坂に運ぶという、いわばシンプルな経済構造は、鎖国体制の確立、大坂市場の物理的基盤の整備、幣制の統一、全国規模での農地開発などの要因が複合的に作用して、一七世紀中後期を通じて確立されたものであった。「天下の台所」大坂は、決して商人だけの力で作り出されたものではなかったのだ。。米を市場で現金に換え、その現金...
始皇帝　中華統一の思想　『キングダム』で解く中国大陸の謎 (集英社新書),たとえ君主であっても、なにか事を起こす場合は、その地域のローカル権力者の協力なしでは進められないのだ。このように、ローカル権力者の力が温存されている構造が、氏族制社会の特徴である。。戦国時代を通して、国力で見ればもっとも中華統一に近かったのは楚だが、楚はとりわけ氏族制が強く、王族は１０００人を超えていたとされる。統一ともなれば、国を挙げた大事業にならざるをえないが、自分の領土を持った、独立性の高い１０００人もの王族を説得しまとめ上げることは難しい。。そこで商鞅は、氏族制を崩し、それぞれが身近な目上の者に向けていた忠誠心をダイレクトに君主へ向けるような仕組みを作りだしたのである。ローカル支配者の...
子どもは40000回質問する～あなたの人生を創る「好奇心」の驚くべき力～ (光文社未来ライブラリー),意見は、科学者たちが精神の働きについて解明してきたいかなる事実とも相容れない。 労力と喜びはもちろん両立する。認知欲求が強いタイプは雇用主のために課題を解決するのが得意にちがいない。なぜなら実のところ、自分のために課題に取り組んでいるからだ。。拡散的好奇心は探究心への第一歩だ。私たちが未知なるものへと目を開くきっかけとなり、新たな経験を求め、それまで縁のなかった人々に出会うことを後押ししてくれる。ただし、知ることへの欲求をふくらませて成熟させない限り、何の洞察も得られないまま興味の対象を次々と替えるだけで、エネルギーと時間を無駄にしかねない。束縛のない好奇心は素晴らしい。しかし、方向性をもた...
安倍晋三　回顧録,官邸一強」と呼ばれた体制が、新型コロナへの対応では迷走しました。検査や病床確保の「目詰まり」の正体は何だったのでしょう。 感染症への対処は国の責任ですが、権限的にも予算的にも国が介入できる手段が少なかったということに尽きると思います。指示する権限や仕組みがないので、自治体や保健所、医療機関を国が動かせない。その壁は厚かった。。薬事承認の実質的な権限を持っているのは、薬務課長です。内閣人事局は、幹部官僚７００人の人事を握っていますが、課長クラスは対象ではない。官邸が何を言おうが、人事権がなければ、言うことを聞いてくれません。。例えば２００人の大会をやると、参加者は、「安倍の話を聞いた」という。...
宗教の起源,ある。事実、今日世界を席巻する宗教の歴史をひもとけば、そのはじまりはすべて、宇宙の真理を見つけたと主張するカリスマ指導者と、それを取りまく小さなカルトであることがわかる。そしてそのすべてにトランス状態をつくりだす儀式や慣習があり、信者に驚嘆をあたえ強烈な忠誠心を生みだしていた。。あいにく人間は複雑なことを扱うのが少々苦手で、厳密には二項対立でない現象も、都合よく二つに分けたがる傾向がある。つまり教義という立派な表看板の下には、いにしえの神秘的な異教の土台が隠れているのだ。実は本書の核心はそこにある。。人間の遺伝子の大多数は、進化の過程でウイルスや単細胞生物が自らのゲノムを人間のゲノムにもぐりこ...
家を買うときに「お金で損したくない人」が読む本,・新築から５年以降で急激に下がる。 ・その後ゆるやかに下がっていき、最後は取り壊し費用の分だけマイナスとなる。。金利の上げ下げの主導権を握られるのは仕方がないことです。 私たちにできるのは、金利が低いうちに、また、住宅ローン控除で守られているうちに、繰り上げ返済のための貯蓄を貯めていくこと です。それが銀行への対抗手段であり、それを実行できる人が変動金利に向いているのです。
小倉昌男　経営学,一生懸命頑張ってネットワークを作り上げる。そのネットワークの上を毎日荷物が流れていく。それがある日、ある数を超したとき、じわりと利益が滲み出てくる。段々滲み出る日が多くなると、ネットワークのどこからか利益がぽたりぽたりと滴り落ちる。そしてやがてそれが集まって、ちょろちょろと溜まり始める。どこから出て来るのかはわからないが、全体として利益が出る。ネットワーク事業というものはそんなものではないだろう。私は思った。サービスを提供する供給者の論理と、サービスを受ける利用者の論理は、正反対の場合が多い。供給者はとかく自分の立場に立って考える、つまり、自分の都合を中心に考えるのである。でも、それは間違って...
岩田さん: 岩田聡はこんなことを話していた。 (ほぼ日ブックス),たぶん、その面談のときにわたしは「判断とは、情報を集めて分析して、優先度をつけることだ」ということがわかったんです。「そこで出た優先度に従って物事を決めて進めていけばいい」と思うようになりました。 そうやって判断を重ねていったら、物事がだんだんうまく回り出しますから、それはきっといろんなことに適用できる真実なんだろうというふうに感じて、それが自分の社長としての自信につながっていくんですね。。相手が誤解したり、共感できなかったりするときには、いくつかの決まった要因があるとわたしは思うんです。そのいくつかの組み合わせで、人は反目しあったり、怒ったり、泣いたり、不幸になったりしている。そういうと...
崖っぷちだったアメリカ任天堂を復活させた男,まずは自分に正直になること。議論において自分の正しさを証明したいとか、勝ちたいという欲求と、自分の確固たる信念とを分けて考える。本当にそれが正解だと思ってやろうとしているのか。他の誰かが同じことを提案しても、ちゃんとこれを支持するだろうかと、自問してみるといい。。ビジネスで必要なのは 3 つの種類の関係だ。まず、以前にあなたと同じ仕事をやり遂げて、その仕事の仕方を教えられるコーチだ。相談できるメンターも必要だ。伝えにくい点を代弁してくれて、代わりのアプローチやアイディアを提案してくれる。最後にサポーターだ。サポーターは周囲にあなたのことを好意的に語ってくれる……
師弟百景　“技”をつないでいく職人という生き方,「我々は今生きている人間だから、今の感性で作品をつくるわけだけど、今ってなんだろうなと思うんだな。古典を知ると、それが見えてくるんだよな」。「人には、視覚だけで捉える『写の目』と、視覚と心で感じる『観の目』がある。『観の目』で彫りあげるのが仏師や」。「私たちがやっているのはアナログだから。シンプルな技術だからこそ、織り手の心が混じり込んで一枚の織物になるんですね。『経糸は運命、緯糸は生き方』です」。日本の法律では、最終工程だけ日本でおこなえば〝Made in Japan〟と表記できる。「
幣原喜重郎　国際協調の外政家から占領期の首相へ (中公新書),所謂 幣原外交の理念は小村外相の伝統を継承するものであって、外交は戦争ではない、一方が勝って他方が負けるということはあり得ない。外交においては常に両国相互の本然の立場を互いに尊重し合って、両国国民の利害関係を公平に調整する。 即ち所謂ギヴ・アンド・テークに 依り双方の満足すべき取決めを結ぶということが外交本来の目的である。〔。小村さんが常に部下に教えて居られたことは、外交官は国民の 喝采 を博そうなどと考えてはいけない。外交官が国民の称賛を得ようとして後向の外交をやれば、それは必ず国を戦争に導く危険を生ずる。外交官は常に軟弱外交といわれて国民から攻撃されるということを覚悟していなければならない...
怪物に出会った日　井上尚弥と闘うということ,各メディアが独自で設定する、全ボクサー対象の最強ランキング「ＰＦＰ（パウンド・フォー・パウンド）」において、どれを見渡しても井上はトップ３に名を連ねる。世界が認める実力に加えて、配信サービスやスポンサーの影響は大きく、高額のファイトマネーを捻出できる仕組みを生みだした。。井上君と闘って燃え尽きたボクサーもいるだろうし、やりきれなかった人もいると思う。だけど、リング上で体感する井上君は特別で、一瞬一瞬が命懸けになる。もうね、本当に一瞬一瞬なんですよ。だから、しっかり覚えているんじゃないですかね」
恐れのない組織――「心理的安全性」が学習・イノベーション・成長をもたらす,だ。フィアレスな（不安も恐れもない） 組織とは、知識集約的な世界にあって、対人関係の不安を最小限に抑え、チームや組織のパフォーマンスを最大にできる組織のことである。未来に対する不安を持たない組織のことでは、決して。心理的安全性とは、大まかに言えば「みんなが気兼ねなく意見を述べることができ、自分らしくいられる文化」のことだ。より具体的に言うなら、職場に心理的安全性があれば皆、恥ずかしい思いをするんじゃないか、仕返しされるんじゃないかといった不安なしに、懸念や間違いを話すことが。多くの人と同様、クリスティーナは気づかぬ間に、職場での自分のイメージをコントロールしていた。著名な社会学者のアーヴィング...
成人発達理論による能力の成長 ダイナミックスキル理論の実践的活用法,私たちの能力の成長は、自分の内側に溜め込まれる形で成し遂げられるような静的なものではなく、状況や他者との関わりを通じて絶えず変化をしながら成し遂げられるという動的なものです。。このメタファーが示す重要なことは、私たちの能力は階段状のステップとは異なり、成長のプロセスにあらかじめ決められた順番や形というのは存在しない、ということです。 要するに、私たちの能力は、置かれている環境や取り組むタスクと相互作用することによって、様々な能力が徐々に網の目を強固に張り巡らせていく形で成長していくのです。。私たちの能力は、置かれている状況や取り組む課題に応じて、ダイナミックに変動するものです。置かれている状況...
戦略としての企業価値,「成長」と「稼ぐ力」を高めて企業価値を生み出す戦略の内容は次の点を踏まえて作成され、そして徹底して実行されるべきである。 成長と稼ぐ力という要諦をはっきりと意識したうえで、これらを軸にしている。 徹底して実行でき、そしてキャッシュフローを生み出していけるように、具体的でアクショナブルなものになっている。 どのような因果関係を経て原因行為である戦略が結果としてのキャッシュフローにつながっていくのかが明らかになっている。。全社戦略と事業戦略は並存する。そして、どちらに軸足を置くかは、その企業が置かれている状況によって、振り子のように変化していく（ 図表1-5「全社戦略と事業戦略」を参照）。 すなわ...
戦略の要諦 (日本経済新聞出版),戦略を立てるスキルは三つの要素で形成される。第一は、ほんとうに重要なのはどれで、後回しにしてよいのはどれかを見きわめる能力。第二は、その重要な問題の解決は手持ちのリソースで現実的に解決可能なのかを判断する能力。第三は、リソースを集中して投入する決断を下す能力、逆に言えば、貴重なリソースを小出しにしたり、一度にいろいろなことに手を出したりする愚を犯さない能力である。。戦略 とは困難な課題を解決するために設計された方針や行動の組み合わせであり、 戦略の策定 とは、克服可能な 最重要ポイント を見きわめ、それを解決する方法を見つける、または考案することにある。。生産性の高い人は、最重要ポイントに全力...
手数料と物流の経済全史,ば、「構造的権力」とは、国際政治経済秩序において、「ゲームのルール」を設定し、それを強制できる国家を指す。。言語の習得により抽象的な思考が可能になった。そのため、ユヴァル・ノア・ハラリが『サピエンス全史』（河出書房新社）で述べた認知革命が生じることになった。彼によれば、ホモ・サピエンスは認知革命により他人も自分と同じ認識をしているということを理解するようになり、虚構を共有する能力を身に付けたのである。この能力こそ、人類が集団で働くことを可能にさせた。抽象的な考え方ができるようになり、認識能力が大きく拡大したといえよう。。おそらく農民は、気の遠くなるような長い年月をかけて、狩猟採集民には届かな...
手段からの解放―シリーズ哲学講話―（新潮新書）,我々は浪費家になって、物を享受し、楽しんでよいはずなのに、消費者になるよう仕向けられ、終わりのない記号消費のゲームに引きずり込まれている。。ワインの味がもたらす享受の快は、ただ単においしいということの享受であって、目的からも手段からも独立しているし、独立して考えられるし、独立して考えられねばならない。。もう少しかみ砕いて言えば、行為が目的意識に満たされている時、快適なものを享受するはずの行為は、手段として有用なものに変容してしまう。享受の快は訪れず、単に目的達成の満足だけが残る。目的-手段連関を持ち込んだとたん、享受の快は享受の快ではなくなると言ってもよい。。カントは「病的なもの」という言葉に...
承久の乱　日本史のターニングポイント (文春新書),実は、源頼朝もその家来も、頼朝を将軍に任命した朝廷も、誰一人として「鎌倉幕府」というものが生まれた、とは考えていませんでした。なぜなら、武士が政治を司った体制・政権を一般的に「幕府」と呼ぶようになったのは、明治時代のことだからです。。頼朝を棟梁と仰ぎ、そこに結集することで、自分たちの権益、特に土地の保障（ 安堵 といいます） を得る。これが鎌倉幕府の本質でした。その頼朝による土地の安堵が「御恩」、それに報いるために、頼朝の命令のもと戦うことが「奉公」です。。実態は破綻したとはいえ、「公地公民」の建前は維持されています。つまり、荘園とは、あくまでも本来あるべき姿からの逸脱であって、理念上は、役所...
