書籍タイトル,著者,ハイライト内容
戦略の要諦 (日本経済新聞出版),リチャード・Ｐ・ルメルト、村井章子,経験豊富なデザイナーがまったく新しい設計に取り組むときには、まず相反する重要な要素、矛盾する要素、両立し得ない要素がないかを探し、そこに注目する。問題の解決をむずかしくしている元凶はいったいどれなのか、と自問するわけだ。その元凶の本質を満足のゆくまで理解するのが先決で、解決方法を考え始めるのはそのあとだ＊
子どもは40000回質問する～あなたの人生を創る「好奇心」の驚くべき力～ (光文社未来ライブラリー),イアン・レズリー、須川 綾子,　私たちはミステリーよりもパズルの視点で物事を捉えようとする傾向がある。パズルは解決可能だとわかっているからだ。「オサマ・ビンラディンはどこにいるのか？」という問いはパズルだ。それが解決されたときは大きな歓喜が訪れた。「イスラム過激派によるテロと闘うにはどうすべきか？」という問いはミステリーであり、ビンラディンの居場所より重要性はずっと高いが、あまりにも複雑で扱いにくそうに見えるので、一般の人々のあいだやメディアにおける関心は相対的に低くなる。
生成AI時代の言語論 THINKING「O」,大澤真幸、今井むつみ、秋田喜美、松尾豊,　哲学者のカントに「超越論的仮象」という概念があります。仮象とは、つまり幻想のことです。普通の仮象は、理性を働かせれば排除することができる。しかし、理性によって除去できない仮象もある。それは、まさに理性が働くために前提にせざるをえない仮象です。そういうものを、カントは超越論的仮象と呼びました。「個人がそれぞれ自由意志をもっている」ということは、そのような仮象です。そのことを前提にしないと、私たちは、何が善く、何が悪いといった道徳的な判断もできなくなってしまう。誰の責任で、誰に罪があるのか、といったことも議論できなくなってしまいます。ですから、自由意志は幻想だとしても、理性的な判断をするために必要になる幻想なので、それは捨て去らないほうがいいのです。
エンジニアリング組織論への招待　～不確実性に向き合う思考と組織のリファクタリング,広木 大地,いるのであれば、それはメンターがその行動を見ることができます。しかし、「悩む」であれば、メンターは心の状態を観察することはできません。
北条氏の時代 (文春新書),本郷 和人,泰時はシステムやルールを作る能力に長けていました。評定衆の制定や、執権、連署制度の確立などの統治システムと、御成敗式目などのルールを次々と生み出していったのです。むき出しの暴力による支配はコストがかかりすぎ、結果、誰の利益にもならないという冷静な視線があったのでしょう。 　つまり泰時こそ、関東武士で初めて本格的に政治というものを行った人物といえるのです。
経営者こそ投資家である 企業価値創造のためのキャピタル・アロケーション (日本経済新聞出版),手島直樹,それは、「投資家志向」です。極論すれば、「オペレーション志向」は現場に任せれば良いのです。経営者には、「負け犬」化しかねない事業や「非ベストオーナー」事業を投資家のようにタイミングよく切り離す判断が求められるのです。つまり、「足し算」だけでなく、時には「引き算」も必要なのです。実際、事業売却に際して多額の買収プレミアムを得ることができれば、「引き算」が「足し算」以上の結果をもたらすことになるのです。
三行で撃つ 〈善く、生きる〉ための文章塾,近藤 康太郎,短文がずっと続く文章は単調で、むしろスピード感を削ぐ。短文と長文を出し入れする。効果的にリズムチェンジする。ここぞというときに変拍子を入れてみる。
検証 ナチスは「良いこと」もしたのか？ (岩波ブックレット),小野寺 拓也、田野 大輔,一九三二年一一月の国会選挙でナチ党が二〇〇万票余りを失って党勢を後退させ、反対に躍進を続ける共産党の脅威が高まったことも、この選択を後押しした。保守勢力の間では、ヒトラーを首相に据えて閣僚の多くを保守派で固めれば、過激な煽動家を政権内で飼いならして、その大衆的基盤を政権運営に利用できるのではないかという観測も広がった。
機嫌のいいチームをつくる,吉井理人,筑波大学出身の高校野球の監督がこう言っていた。 「コーチングは凧揚げみたいなもの。揚げるときは糸を思い切り引っ張ってあげなければならないが、揚がってからは、風向きによって変な方向に行かないように、微調整するだけでいい。そういうイメージでコーチングするといい」 これは良い例えだ。
財閥のマネジメント史　誕生からバブル崩壊、令和まで (日本経済新聞出版),武藤泰明,財閥はなぜ非関連分野に多角化するのかというと、 ●そもそも事業に直結するような経営資源（技術、顧客など） をあまり持たない ●国内で高収益をあげていれば、資金は潤沢にある という状況のはずなので、潤沢な資金を使って、必ずしも得意ではない非関連事業に進出し、うまくいけば競争相手が少なくて高収益が実現できることになります。そして、新たに参入するビジネスは、先進国ではすでに実施されているものなので、参入リスクがそれほど大きくありません。 　また日本の場合は、明治政府が外資に規制をかけていたので、少なくとも国内では、ほとんど先進国企業との競争がありませんでした。多角化しやすい経営環境だったと言うことができるでしょう。
"Zero to One: Notes on Startups, or How to Build the Future (English Edition)",Peter Thiel、Blake Masters,but rather that it will be a time when the world looks different from today.
勝利の流れをつかむ思考法　F1の世界でいかに崖っぷちから頂点を極めたか,山本 雅史,重要なのは、思うようにやらせてその人がいかに楽しく問題に挑めるか、ということだ。だからこそ、そこでは悪い部分で評価する〝減点主義〟ではなく、プラスの部分を一緒に増やしていく〝加点主義〟が求められる。自分で目標を決めさせ、最後まで責任をもってやり遂げるのを見守ることこそ、上司の役割なのだ。
交易する人間（ホモ・コムニカンス）　贈与と交換の人間学 (講談社学術文庫),今村仁司,生まれる。「我」としての個人は他人とのつきあいのなかで形成される。個人は社会生活の結果である。
とにかく仕組み化――人の上に立ち続けるための思考法,安藤 広大,会社は、目的や目標に向けて進んでいく存在です。 企業理念にどんどん近づいていく。 そうやって全体が前に進んでいくことで発生するのが、「進行感」です。 組織で働く人はみな、この進行感を感じてほしいと思っています。 組織全体が前へ前へと動いていく感覚です。 それにより、 組織の一員であることに「誇り」を持つことができます。 それが、「この会社にいること」の利益なのです。 目先のボーナスや社員旅行などでは味わえません。 進行感があることにより、社員は「辞める理由」がなくなります。
成人発達理論による能力の成長 ダイナミックスキル理論の実践的活用法,加藤洋平,このメタファーが示す重要なことは、私たちの能力は階段状のステップとは異なり、成長のプロセスにあらかじめ決められた順番や形というのは存在しない、ということです。 要するに、私たちの能力は、置かれている環境や取り組むタスクと相互作用することによって、様々な能力が徐々に網の目を強固に張り巡らせていく形で成長していくのです。
世界は贈与でできている　資本主義の「すきま」を埋める倫理学 (NewsPicksパブリッシング),近内悠太,宛先を持つという僥倖。宛先を持つことのできた偶然性。 　 贈与の受取人は、その存在自体が贈与の差出人に生命力を与える。
PLG　プロダクト・レッド・グロース「セールスがプロダクトを売る時代」から「プロダクトでプロダクトを売る時代」へ,ウェス・ブッシュ、UB Ventures、八木映子,理想的な利用ガイドメールは、特定のオンボーディング・タスクの完了または未完了をトリガーに配信される。
世界はシステムで動く ― いま起きていることの本質をつかむ考え方,ドネラ・Ｈ・メドウズ、枝廣淳子、小田理一郎,システムは通常、そのシステムでありつづけ、その要素をすべて取り替えたとしても、つながりと目的が同じである限り、変わるとしてもゆっくりとしか変わりません。
運動しても痩せないのはなぜか：代謝の最新科学が示す「それでも運動すべき理由」,ハーマン・ポンツァー、小巻 靖子,カロリーを燃やす以上に食べると、体重が増える。カロリーをとる以上に燃やすと、体重が減る。炭水化物、脂肪、タンパク質をどんな割合で組み合わせても、エネルギー消費量や体重にはこれといった影響が及ばず、適正体重を達成したときのメリットに違いが生じるわけでもない。
言語の本質　ことばはどう生まれ、進化したか (中公新書),今井むつみ、秋田喜美,音と意味が自然につながっていて、それを赤ちゃんでも感じられることが、「単語に意味がある」という「名づけの洞察」を引き起こす きっかけ になるのではないか。だから大人は赤ちゃんにオノマトペを多用するのだろう。（
恐れのない組織――「心理的安全性」が学習・イノベーション・成長をもたらす,エイミー・C・エドモンドソン、村瀬俊朗、野津智子,心理的安全性とは、大まかに言えば「みんなが気兼ねなく意見を述べることができ、自分らしくいられる文化」のことだ。より具体的に言うなら、職場に心理的安全性があれば皆、恥ずかしい思いをするんじゃないか、仕返しされるんじゃないかといった不安なしに、懸念や間違いを話すことが
「組織と人数」の絶対法則―人間関係を支配する「ダンバー数」のすごい力,トレイシー・カミレッリ、サマンサ・ロッキー、ロビン・ダンバー、鍛原 多惠子,・私たちにはホモフィリーと呼ばれる傾向がある。自分に似た人に自然に引き寄せられるのだ。だが、ホモフィリーは諸刃の剣でもある。職場における友情は安心感と心地よい仕事上の関係を与えるかもしれないが、イノベーションと最良の意思決定には多様な視点が必要とされる。優秀なリーダーであるためには、職場の友情を促進する一方で、ときにはサイロから出るようにも強いなければならないことを認識すべきである。
大坂堂島米市場　江戸幕府ｖｓ市場経済 (講談社現代新書),高槻泰郎,諸大名が領民に粛々と米を作らせて大坂に運ぶという、いわばシンプルな経済構造は、鎖国体制の確立、大坂市場の物理的基盤の整備、幣制の統一、全国規模での農地開発などの要因が複合的に作用して、一七世紀中後期を通じて確立されたものであった。「天下の台所」大坂は、決して商人だけの力で作り出されたものではなかったのだ。
経営者こそ投資家である 企業価値創造のためのキャピタル・アロケーション (日本経済新聞出版),手島直樹,Ｍ＆Ａの発表直後から１年間にわたり一貫して株価パフォーマンスがプラスの案件は買収プレミアムの平均値が 25・８％、一方で一貫してマイナスの案件では 40・５％と高水準となっています（全案件の平均値は 35・７％）。つまり、買収プレミアムと株価リターンは反比例しているのです。
経営者こそ投資家である 企業価値創造のためのキャピタル・アロケーション (日本経済新聞出版),手島直樹,・持続的なキャッシュフロー創出力こそ最強の資金調達源であり、外部調達を必要とせず、投資と株主還元の「二刀流」を実行したり、ターゲットとする資本構成を容易に実現したりすることを可能にする。
なぜ、TikTokは世界一になれたのか？,マシュー・ブレナン、露久保由美子,　チームは同時に、他のショート動画やソーシャルメディアのプラットフォームにアカウントを作り、「抖音」の透かし（ウォーターマーク） 入りの動画を投稿した。動画に興味を持った人は透かしを見て、アプリストアでその名前を検索してくれるので、これはちょっとした広告のようなものだった。その後、動画クリエイターのユニークなユーザーＩＤが、点滅するロゴの横の透かしに追加された。この小さな、けれど極めて重要な変更によって、人々が他のプラットフォームで自分の動画を共有する動きに拍車がかかった。それが自分のアカウントでファンを増やすことにつながるからだ。
脳は世界をどう見ているのか　知能の謎を解く「1000の脳」理論,ジェフ ホーキンス、大田 直子,実のところ、私たちが知覚するのは世界のモデルであって、世界そのものでも、頭蓋に入ってくるめまぐるしく変化する活動電位でもない。一日を過ごすあいだ、脳への感覚入力は世界モデルの適切な部分を呼び覚ますのであって、私たちが知覚するもの、起きていると考えるものは、そのモデルなのだ。私たちの現実は水槽の脳仮説に似ている。私たちはシミュレートされた世界に生きているのだが、その世界はコンピューターの中ではなく、頭の中にある。
アフターデジタル２ ＵＸと自由,藤井 保文,ハイタッチ 　１対１の接点で、訪問、相談などの個別対応。 ロータッチ 　１対多の接点で、リアルで複数人に対応するワークショップやイベントなど。 テックタッチ 　１対無限の接点で、オンラインコンテンツやメールなど、量産可能でいつでもどこでも触れられるもの。
経営者・従業員・株主がみなで豊かになる 三位一体の経営,中神 康議,ブランドづくりには必ず「投下資本」が必要で、ブランド資産が実際にできるかどうかには確率論が絡み、その資産が高い「利回り」を出せるかどうかも、そんなに簡単ではない
世界の天才に「お金の増やし方」を聞いてきた,デイヴィッドＭ.ルーベンシュタイン,まず売り買いすればそのたびに税金を払わねばならない、それがひとつ。そしてふたつ目。正確に最高値と最安値を見極め、売買する──どうやったらそんなことができるんでしょう？　馬鹿げた話です。私には株式市場がどうなるか予測できるなどという自信は、どうしても持てません。１９９６年にアラン・グリーンスパンが株式市場の高騰を「根拠なき熱狂」と称したときから、私は市場予測に自信を失ったのです。市場はその後３年間で 80 パーセント上昇しました。
爆速成長マネジメント,イラッド・ギル、浅枝 大志、大熊 希美,流通網での障壁づくりが重要になります。流通網を構築し、市場の１００％
生成AI時代の言語論 THINKING「O」,大澤真幸、今井むつみ、秋田喜美、松尾豊,ChatGPTのようなＡＩは、統計的な帰納推論が非常に得意ですが、アブダクションはしません。逆に、人間がやっていることのほとんどはアブダクションである。このことは人間とは何かを理解するうえでとても重要なことだと思います。
「最強」ソリューション戦略 (日本経済新聞出版),高杉康成,最強ソリューション戦略による視点で求められる新製品・新サービスは、何万倍という物凄く高い倍率で見ることができるような仕様・機能に依存する価値だけではなく、製品・サービスの高度さ、複雑さが起因することによってできる情報ギャップによる価値の両方を備えるべきです。
爆速成長マネジメント,イラッド・ギル、浅枝 大志、大熊 希美,最初のプロダクトで得た流通網と顧客基盤が最大の資産なのである。
会社という迷宮――経営者の眠れぬ夜のために,石井 光太郎,「人」は概念としての「組織」の中の「一機能」を担う入れ替え可能な部品ではなく、固有の「人」の集団としての「組織」の中で、初めてその「人」ならではの存在となるのである。「組織」もまた、その固有の「人」によって形成されて初めてその「組織」となるのであり、その意味において一体不可分なものなのである。「組織」が「人」をつくり、「人」が「組織」をつくる。そのことによって、「組織」は身体を持った「組織」体、二つとない固有の歴史的存在となる。
運動しても痩せないのはなぜか：代謝の最新科学が示す「それでも運動すべき理由」,ハーマン・ポンツァー、小巻 靖子,　当然、ヒトも他の動物も、負のエネルギー収支バランスに対する仕組みを古くから進化させてきた。１日の消費量に見合うだけのカロリーを摂取していないと感じると、体は活動を控える。そうしてなんとかしてやりくりし、消費量が摂取量を超えないようにする。
企業価値４倍のマネジメント－－結果にこだわるコンサルタントの定石 (日本経済新聞出版),火浦俊彦、ベイン・アンド・カンパニー,これまでに述べたことを簡潔にまとめれば、「組織が卓越した業績を生み出すのは、適切に策定された戦略の実行に必要な意思決定が、競合より有効かつ迅速に下され、実行に移されることが最低条件」「オペレーティングモデルはそれを確実にするために戦略と組織を橋渡しするツールである」ということです。
エンタメビジネス全史　「IP先進国ニッポン」の誕生と構造,中山 淳雄,日本では毎月１００億回が視聴をされる中で１回あたり０・３円、総額 30 億円の広告費の取り合いがされている（この半分をヒカキンを擁するＵＵＵＭが寡占している）。そこにタイアップ広告として企業協賛をもらったり、イベントグッズを販売したり、合計で年間約５００億円。テレビ地上波の広告費１・７兆円に比べれば３％に満たない小さな市場だ。そこに何百万というチャンネルがひしめきあっている。
社会学の考え方〔第２版〕 (ちくま学芸文庫),ジグムント・バウマンティム・メイ、ティム・メイ、奥井智之,わたしたちは皆、他の人々とともに生活し、相互に作用し合っている。その過程で、わたしたちは、非常に多くの暗黙知を周囲の人々に提示し、そうすることで、日々の生活の課題を何とかこなすことができる。わたしたちは、各自が熟練した俳優なのである。わたしたちが何を手に入れるか、わたしたちが何であるかは、他の人々が何をするかに依存する。
承久の乱　日本史のターニングポイント (文春新書),本郷 和人,幕府の首脳部は激論を交わし、いったんは足柄と箱根の二つの関所を固めて、関東に籠る作戦を取ることに決めたのですが、これに反対したのは文官のトップである大江広元でした。広元は、関所を守って時間を過ごすことは、関東の武士たちを不安にさせ、離反を招くおそれがある、と主張したのです。さらに北条政子も広元を支持しました。 　そこで上洛の命令を下すのですが、二日後、再び異議が出て、なかなか結論は出ません。広元は言葉を重ねて、もし今夜のうちに泰時ひとりでも京都に向かって急行すれば、東国の武士たちは雲が龍になびくように従うはずだ、とまで言いました。そこで、やはり頼朝の流刑時代からの文官の長老で、高齢で自宅静養中だった三善康信に意見を求めると「あれこれ議論を重ねるのは愚かな考えで、時間を無駄に使ったのは怠慢だ」という。こうして二人の長老の積極策を聞いて、義時は息子の泰時に軍を率いて出発することを命じたのです。実際に戦う軍人が消極的で、文官のほうが積極策を主張するのはよくあることでもありますが、広元たちは文官だからこそ、武士の心理を冷静にみていたように思えます。勢いのあるほうに乗じるのは武士のならい。待つことの心理的なマイナスを指摘したのです。
うしろめたさの人類学,松村圭一郎,　構築主義という考え方がある。何事も最初から本質的な性質を備えているわけではなく、さまざまな作用のなかでそう構築されてきた、と考える視点だ。よくあげられる例は、「ジェンダー」だろう。男性は生まれたときから「男らしさ」をもっているわけではない。社会の制度や習慣などによって「男らしさ」を身につけてきた。だから「男らしさ」は社会的に構築されてきた。そう考える。
現代思想入門 (講談社現代新書),千葉雅也,今、同一性と差異が二項対立をなすと言いましたが、その二項対立において差異の方を強調し、 ひとつの定まった状態ではなく、ズレや変化が大事だと考えるのが現代思想の大方針 なのです。
ナナメの夕暮れ (文春文庫),若林 正恭,他人への否定的な視線は、時間差で必ず自分に返ってきて、人生の楽しみを奪う。
「最強」ソリューション戦略 (日本経済新聞出版),高杉康成,組織力を活かしたソリューション活動を行っていくためには、いかにして「１割のリソースで９割のリソースを活かすか」という仕組みを作るかが鍵となります。そして、そこでは、その１割にどれだけ優秀な人材を配置できるかが重要な要素となってきます。
THE MODEL（MarkeZine BOOKS） マーケティング・インサイドセールス・営業・カスタマーサクセスの共業プロセス,福田 康隆,採用する役割については、常に「キャパシティ」と「レバー」という分け方をしている。 　業務量や顧客カバレッジなどに応じて増やさなければならない営業やコンサルタントなどの役割はキャパシティ。そして、キャパシティの生産性を最大限に向上させるレバーとなる役割という考え方だ。この２つにバランス良く配分できているかは、投資計画において重要な指標となる。
岩田さん: 岩田聡はこんなことを話していた。 (ほぼ日ブックス),ほぼ日刊イトイ新聞,逆にいうと、コミュニケーションが成立しているときって、どちらかが相手の理解と共感を得るために、どこかで上手に妥協をしているはずなんです。
幣原喜重郎　国際協調の外政家から占領期の首相へ (中公新書),熊本史雄,　一九三三年二月二四日の国際連盟総会で、満洲国を否認し満洲からの日本軍撤退を勧告する案が「四二対一、棄権一」の圧倒的多数で可決されると、衆議院議員（政友会代議士） で代表として派遣された 松岡洋右 率いる日本代表団は総会を退席した。実は松岡は、総会決議に先立って、この程度のことで連盟を脱退するのはばかげていると、本省の内田外相に再考を促していた。当時の新聞もおおよそが連盟にとどまることを主張していた。 　だが、内田はこれを聞き入れなかった。 忸怩 たる思いを抱えた松岡は、連盟総会の議場を去る間際、そこに居合わせた『朝日新聞』特派員の 古 垣 鉄 郎 に「俺は完全に失敗したよ」と、言い残したという。世論や出先機関よりも外務省の本省の方が、ファナティックで過激な連盟脱退論に傾斜していたのである。
安倍晋三　回顧録,安倍晋三、橋本五郎、尾山宏、北村滋,例えば２００人の大会をやると、参加者は、「安倍の話を聞いた」という。だが、 20 人の会合では、「安倍と話した」というようになる。 20 人で効率が悪いように見えるけど、この 20 人が運動員になってくれる。２００人の集会で、私の話に共感して運動員になってくれる数は分かりませんが、このミニ集会は大きな意味を持ちました。
企業変革のジレンマ　「構造的無能化」はなぜ起きるのか (日本経済新聞出版),宇田川元一,多くの場合、現場の自発性の不在は、経営層が打ち出す戦略の明確性の低さや、その戦略の中で個々のメンバーが自分の位置づけを見出せないという問題によって生じる。それを個人の問題にすり替えてはならない。
INNOVATION STACK　だれにも真似できないビジネスを創る,ジム・マッケルビー、山形浩生,だからサウスウエスト航空は、運賃を 13 ドルだけ支払うか、それとも満額 26 ドルを支払って、かわりに無料のシーバス・リーガルスコッチか、クラウンローヤルウィスキーか、スミノフウォッカのボトルをつける、という選択肢を乗客に与えた。ほとんどの乗客はサウスウエスト航空にとどまり、満額払ってお酒をもらった。サウスウエスト航空は二倍の運賃でもブラニフに売り勝ち、そのプロモーションが続く間はテキサス最大の酒類提供業者となった。
現代経済学の直観的方法,長沼伸一郎,中世の文明は大変な労力を払って資本主義の成長をむしろ意識的に抑制しており、またその際に用いられた手段は極めて巧妙なものであった。
ハンニバルに学ぶ戦略思考,奥出 阜義,古代においては大量破壊兵器がなく、リーダーの人間力こそが戦略勝負の主体であった。それは「ビジネス戦略の人間力」に相通じ、歴史的にも普遍的と思える「人間力の本質」の向上に直結する。
生成AI時代の言語論 THINKING「O」,大澤真幸、今井むつみ、秋田喜美、松尾豊,扱える事例が限られていてデータが足らず、純粋な統計推論ができない場合、思い込みで埋めるしかありません。そういう意味でも帰納推論は必然的にアブダクションにならざるを得ないわけです。ただ、ＡＩは純粋な帰納推論ができる一方、アブダクションはしない、ということは押さえるべきでしょう。
運　ドン・キホーテ創業者「最強の遺言」 (文春新書),安田 隆夫,曖昧さを許容する謙虚さがなければ、脳は間違える」
会社という迷宮――経営者の眠れぬ夜のために,石井 光太郎,こうして「利益」という場所から意識が出発すると、つまるところそれは「差」、言い換えると他者（他社） との相対的関係においてしか捉えられないものとなる。それを「競争」と呼ぶ。しかし、それはどこまで行っても、相対的なものであり続ける。問題になるのは、自ら定めた目標との距離ではなく、競争相手との相対的な距離である。
日本人のための第一次世界大戦史 (角川ソフィア文庫),板谷 敏彦,イギリスには民間（軍産協同） の海軍協会という圧力団体があり、ドイツにはクルップ社やエッセンの兵器会社達が設立した同じような協会が存在して、大衆に対して防衛上の危機感を必要以上に煽っていました。どちらも大海軍主義者と呼ばれる一群の海軍士官と
ビジネス・フォー・パンクス,ジェームズ・ワット、高取 芳彦、楠木 建,今の時代、ブランド構築で一番大事なポイントは、企業は自分のブランドに影響を及ぼすことはできても、自分の物のように好き勝手に扱うことは決してできないという点だ。今やブランドはすべて顧客のもの、そして顧客がつくるものになり、事業者はもう、顧客によるブランドづくりに付き添うことしかできなくなっている。
最高を超える,フランク・スルートマン、福永 詩乃,技術サポートが顧客の問題に対して責任を負う一方で、営業は顧客との結び付きを担う。これをカスタマーサクセス部に譲ってはいけない。ビジネスが拠って立つものは顧客との結び付きであって、取引や決済ではない。営業担当者が、自分の仕事をカスタマーサクセス部のたぐいに委ねないことが大切だ。
脳は世界をどう見ているのか　知能の謎を解く「1000の脳」理論,ジェフ ホーキンス、大田 直子,　考えられる説明はひとつだけだった。私の脳、厳密には私の新皮質は、何を見たり聞いたり感じたりしようとしているか、同時に複数の予測を立てているのだ。私が眼を動かすたびに、新皮質はこれから何を見るのかを予測する。私が何かを手に取るたびに、新皮質は指が何を感じるはずかを予測する。そして私が行動を起こすたびに、何が聞こえるはずかを予測することになる。コーヒーカップの取っ手の手ざわりのようなごく小さい刺激も、カレンダーに示されるはずの正しい月のような包括的な概念も、脳は予測する。こうした予測は、低次の感覚特性のためにも高次の概念のためにも、あらゆる感覚様相で起こる。このことから、新皮質のあらゆる部位、ひいてはあらゆる皮質コラムが、予測をしていることがわかった。予測は新皮質の普遍的な機能なのだ。
世界は贈与でできている　資本主義の「すきま」を埋める倫理学 (NewsPicksパブリッシング),近内悠太,他者から贈与されることによって「商品としての履歴が消去されたもの（ 値段がつけられなくなったもの）」も、サービスではない「他者からの無償の援助」も、市場における交換を逸脱する。それゆえに、僕らはそれに目を向けることができ、それに気づくことができる
マッキンゼー　ホッケースティック戦略―成長戦略の策定と実行,クリス・ブラッドリー、マーティン・ハート、スヴェン・シュミット、野崎 大輔、アンドレ・アンドニアン,多くの人にとっては、起業家魂とは、自分のキャリアがリスクにさらされない限りにおいてのみ、素晴らしいものなのです。
二項動態経営　共通善に向かう集合知創造 (日本経済新聞出版),野中郁次郎、野間幹晴、川田弓子,現象学の時間論において、現象学者エドムント・フッサールは、「現在」とはいまこの瞬間として捉えられる現在だけでなく、過ぎ去る過去が生み出す意味と、未来に向けた無意識の先読みが臨在する「生き生きした現在」の構造を持つ、と述べている。
SONY 平井改革の1500日 (日本経済新聞出版),日経産業新聞,Ｚｅｐｐのライブ会場はステージサイズや証明・音響設備などがほぼ規格化されて整備されている。様々な形や大きさの既存のホールツアーでは、実はライブにかかる費用や時間は大きい。音響設備やスピーカー、設営にかかるスタッフなど、制作費はばかにならない。Ｚｅｐｐモデルは、アーティストはライブの制作費のほか、ツアーの手間暇などのコストを軽減できるわけ
なぜ私たちは燃え尽きてしまうのか,ジョナサン マレシック、吉嶺 英美,バーンアウトしていると発言することは、人はつねに働いていなければいけないというアメリカ人の理想を自分は実践している、と主張することでもあるのだ。
企業変革のジレンマ　「構造的無能化」はなぜ起きるのか (日本経済新聞出版),宇田川元一,　この常識の壁は、個々人の常識ではなく、顧客との関係や既存のビジネスを形成するサプライヤーのネットワーク、流通のためのバリューチェーンなど、外的プレーヤーとの間で形成される様々なネットワーク（バリューネットワークとも呼ばれる）によって構成される業界の常識のようなものだ。事業が成熟するに従い、企業は、そのバリューネットワークに埋め込まれた存在となっていく。なぜなら、それによって既存の顧客の満足度を高め、サプライヤーとの連携も安定し、効率的に事業運営をすることが可能になるからだ。 　しかし同時に、それによってネットワークの外側で起きる変化は見えにくくなる。市場の変化が何を意味するのかがわからないという状況は、組織内部の断片化だけでなく、業界の構造的な変化によっても生じる。つまり、行為環境で見えている問題の背後に、複雑な問題が存在しているが、それがうまく見えないという問題の二重性が、イノベーターのジレンマにおいても想定されているのである。
Anthro Vision（アンソロ・ビジョン）　人類学的思考で視るビジネスと世界 (日本経済新聞出版),ジリアン・テット、土方奈美,だが人類学者のレンズでＥＳＧをよく見ると、表立ってあまり議論されないもうひとつの要因があることがわかる。利己心だ。つまり「わが身を守る」手段としてＥＳＧを使う企業や金融機関のリーダーが増えているのだ。
テンセント――知られざる中国デジタル革命トップランナーの全貌,呉 暁波、箭子 喜美江,　２００６年６月、馬化騰は雑誌『中国企業家』の取材を受けた際、この点について説明している。「私はむやみにイノベーションはしない。マイクロソフト、グーグルがしていることは、すべて別の誰かがやったことだ。最も賢い方法は間違いなく、最善のケースを学んでからそれを追い越すことだ」
日本人のための第一次世界大戦史 (角川ソフィア文庫),板谷 敏彦,やがてフォッグ氏が旅する前年の１８７１年に終結する普仏戦争によってドイツ帝国として統一を果たしたのです。イタリア王国の成立が１８６１年です。ドイツやイタリアなどの列強の国家統一は、実は日本の明治維新と同じ頃だったのです。
企業価値４倍のマネジメント－－結果にこだわるコンサルタントの定石 (日本経済新聞出版),火浦俊彦、ベイン・アンド・カンパニー,市場リーダーは、単純な「業界平均」とは本来目指すべき収益性の水準が一段も二段も異なることを自覚すべきです。さらに、市場リーダーだからこそとりうる戦略の自由度は非常に大きいこと、そして自社が複数の事業を持つ場合には、市場リーダーシップを持つ事業へのヒト・モノ・カネの投資優先度を下げることは企業全体の投資効率を低下させ、ひいてはその事業のリーダーシップを危機に陥れる可能性もあることを十分に理解する必要があるのです。
BCG 次の10年で勝つ経営 企業のパーパス(存在意義)に立ち還る (日本経済新聞出版),ボストン コンサルティング グループ,先進国の経済成長の鈍化傾向が続くなか、金融市場の大幅な資金余剰の状況が今後も継続すると考えられる。 　２０１９年末現在、世界のマネーサプライの指標（広義流動性のＧＤＰ比率）は２００８年の１００％から２０１８年の１２４％にまで拡大している（図表１－13）。経済の低成長が続くなかで、各国の金融当局は２０１９年末現在で当面は金融緩和姿勢の継続を示しており、こうした資金余剰状況は今後も強まると思われる。
ヒットの設計図　ポケモンGOからトランプ現象まで (早川書房),デレク トンプソン、高橋 由紀子,　ユニバーサル・マッキャンの調査は、１万人を対象とした大々的なものだった。その結果彼らが予測したのは、ｉＰｈｏｎｅは、アメリカ、ヨーロッパ、日本など、最も豊かな市場において苦戦するだろうということだった。すでに持っている上等の携帯電話とカメラとＭＰ３プレーヤーを、どの機能１つとっても最高級とは言えない 何でも屋 の製品に取り換えようと思わないだろうと考えたからだ。メキシコ、マレーシア、インドでは、 70 パーセント以上の人が、「携帯機器１つですべてのニーズに応えられるというのは素晴らしい」と答えたが、ドイツ、日本、アメリカでそう答えた人は、わずか 30 パーセントだった。
言語の本質　ことばはどう生まれ、進化したか (中公新書),今井むつみ、秋田喜美,オノマトペの音は子どもに、どの要素に注目すべきかを自然に教えるのである。オノマトペには音と動作の対応があるので、一般化の基準となる意味のコアをつかむ手助けとなるのである。
始皇帝　中華統一の思想　『キングダム』で解く中国大陸の謎 (集英社新書),渡邉義浩,戦国時代を通して、国力で見ればもっとも中華統一に近かったのは楚だが、楚はとりわけ氏族制が強く、王族は１０００人を超えていたとされる。統一ともなれば、国を挙げた大事業にならざるをえないが、自分の領土を持った、独立性の高い１０００人もの王族を説得しまとめ上げることは難しい。
企業変革のジレンマ　「構造的無能化」はなぜ起きるのか (日本経済新聞出版),宇田川元一,構造的無能化とは、組織が考えたり実行したりする能力を喪失し、環境変化への適応力を喪失していくことである。
確率思考の戦略論　どうすれば売上は増えるのか,森岡 毅、今西 聖貴,やはり最初から「ターゲティングありき」ではないということです。できるだけMを多くとるために、できるだけ広くあろうとする試行錯誤と四苦八苦の果てに、現実的なオプションの中で最大のMを獲得する方法が、その場合は残念ながら便益Bによるターゲティングだったということです。
